	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1696 1704  -8>,  	Ek2 --    1/8th( 58) <      > 	V 57 - M 58	= -1  %-2  	q= -1  %-2  	 0.325(89)
printNotes: i= 42-<1618 1554  64>,  	 D2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 43-<1714 1704  10>,  	Ek2 --    1/8th( 58) <      > 	V 63 - M 58	= +5  %+8  	q= +5  %+8  	 0.360(89)
printNotes: i= 44-<2044 2083 -39>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(89)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --   1/4th.(173) <-1*sela> 	V158 - M179	=-21  %-13  	q=-15  %-9  	 0.911(89)<-----%13   %9

printNotes: i= 46-<1700 1704  -4>,  	Ek2 --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(89)
printNotes: i= 47-<1598 1554  44>,  	 D2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 48-<1669 1704 -35>,  	Ek2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
printNotes: i= 49-<1624 1554  70>,  	 D2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 50-<1549 1704 -155>,  	Ek2 --  1/8th..(101) <      > 	V 97 - M101	= -4  %-4  	q= -4  %-4  	 0.557(89)
printNotes: i= 51-<1059 1283 -224>,  	 B1 -- 1/16th..( 51) <      > 	V 53 - M 51	= +2  %+4  	q= +2  %+4  	 0.302(89)
printNotes: i= 52-<1710 1704   6>,  	Ek2 --     half(231) <1*sela> 	V252 - M231	=+21  %+8  	q=+21  %+8  	 1.457(89)
printNotes: i= 53-<2144 2207 -63>,  	Ak2 --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(89)


silence
printNotes: i= 54-<   0   40 -40>,  	Slc --    whole(463) <2*sela> 	V498 - M468	=+30  %+6  	q=+35  %+7  	 2.885(89)
printNotes: i= 55-<1601 1554  47>,  	 D2 --  1/16th.( 43) <      > 	V 39 - M 43	= -4  %-10  	q= -4  %-10  	 0.221(89)
