	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1878 1878    >,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 42-<2006 2104 -98>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 43-<1737 1744  -7>,  	Ek2 --   1/4th.(192) <      > 	V203 - M192	=+11  %+5  	q=+11  %+5  	 1.173(81)
printNotes: i= 44-<1870 1878  -8>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 45-<1992 2104 -112>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 46-<1906 1878  28>,  	 F2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 47-<2066 2104 -38>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 48-<1731 1744 -13>,  	Ek2 --  1/8th..(112) <      > 	V104 - M112	= -8  %-8  	q= -8  %-8  	 0.598(81)
printNotes: i= 49-<1848 1878 -30>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 50-<1982 2104 -122>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 51-<1865 1878 -13>,  	 F2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(81)
printNotes: i= 52-<1972 2104 -132>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 53-<1740 1744  -4>,  	Ek2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 54-<1927 1878  49>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 55-<1721 1744 -23>,  	Ek2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)


silence
printNotes: i= 56-<   0   40 -40>,  	Slc --  1/8th..(112) <      > 	V115 - M118	= -3  %-3  	q= +3  %+3  	 0.662(81)
printNotes: i= 57-<1662 1744 -82>,  	Ek2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 58-<1665 1878 -213>,  	 F2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 59-<1464 2104 -640>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 60-<1887 1878   9>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)
printNotes: i= 61-<2092 2104 -12>,  	 G2 -- 1/16th..( 56) <      > 	V 54 - M 56	= -2  %-4  	q= -2  %-4  	 0.308(81)
printNotes: i= 62-<1905 1878  27>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 63-<2106 2104   2>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 64-<2183 2241 -58>,  	Ak2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 65-<1898 1878  20>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 66-<2105 2104   1>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 67-<1869 1878  -9>,  	 F2 --  1/8th..(112) <      > 	V105 - M112	= -7  %-7  	q= -7  %-7  	 0.604(81)
printNotes: i= 68-<2111 2104   7>,  	 G2 --   1/4th.(192) <      > 	V178 - M192	=-14  %-8  	q=-14  %-8  	 1.027(81)
printNotes: i= 69-<1883 1878   5>,  	 F2 --  1/4th..(224) <-1*sela> 	V208 - M192	=+16  %+8  	q=-16  %-8  	 1.202(81)
printNotes: i= 70-<1747 1744   3>,  	Ek2 --  1/16th.( 48) <      > 	V 51 - M 48	= +3  %+6  	q= +3  %+6  	 0.290(81)
printNotes: i= 71-<1883 1878   5>,  	 F2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i= 72-<1746 1744   2>,  	Ek2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)


silence
printNotes: i= 73-<   0   40 -40>,  	Slc --   1/8th.( 96) <      > 	V 81 - M 96	=-15  %-19  	q=-15  %-19  	 0.464(81)
printNotes: i= 74-<1869 1744 125>,  	Ek2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(81)
printNotes: i= 75-<2230 2241 -11>,  	Ak2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 76-<2136 2104  32>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 77-<2254 2241  13>,  	Ak2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 78-<2064 2104 -40>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 79-<2233 2241  -8>,  	Ak2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 80-<1867 1878 -11>,  	 F2 --  1/16th.( 48) <      > 	V 50 - M 48	= +2  %+4  	q= +2  %+4  	 0.284(81)
printNotes: i= 81-<2120 2104  16>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 82-<1889 1878  11>,  	 F2 -- 1/16th..( 56) <      > 	V 52 - M 56	= -4  %-8  	q= -4  %-8  	 0.296(81)
printNotes: i= 83-<2031 2104 -73>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
