	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1620 1597  23>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(73)
printNotes: i= 42-<1811 1871 -60>,  	 F2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(73)
printNotes: i= 43-<1751 1747   4>,  	Ek2 --  1/8th..(124) <      > 	V123 - M124	= -1  %-1  	q= -1  %-1  	 0.708(73)
printNotes: i= 44-<1408 2219 -811>,  	Ak2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(73)
printNotes: i= 45-<1702 1747 -45>,  	Ek2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(73)


silence
printNotes: i= 46-<   0   40 -40>,  	Slc --  1/4th..(248) <      > 	V249 - M248	= +1  %+0  	q= +1  %+0  	 1.440(73)
printNotes: i= 47-<1611 1397 214>,  	 C2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 48-<2129 2219 -90>,  	Ak2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(73)
printNotes: i= 49-<2096 2097  -1>,  	 G2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(73)
printNotes: i= 50-<2056 2219 -163>,  	Ak2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(73)
printNotes: i= 51-<1874 1871   3>,  	 F2 --     half(283) <      > 	V283 - M283	=  +  %+0  	q=  +  %+0  	 1.637(73)
printNotes: i= 52-<1731 1747 -16>,  	Ek2 --    1/8th( 71) <      > 	V 81 - M 71	=+10  %+12  	q=+10  %+12  	 0.464(73)
printNotes: i= 53-<1617 1597  20>,  	 D2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 54-<1741 1747  -6>,  	Ek2 --    1/4th(142) <      > 	V155 - M142	=+13  %+8  	q=+13  %+8  	 0.894(73)
printNotes: i= 55-<1865 1871  -6>,  	 F2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(73)
printNotes: i= 56-<2120 2097  23>,  	 G2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(73)
printNotes: i= 57-<2166 2219 -53>,  	Ak2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(73)
printNotes: i= 58-<1910 1871  39>,  	 F2 --  1/32nd.( 27) <      > 	V 24 - M 27	= -3  %-12  	q= -3  %-12  	 0.134(73)
printNotes: i= 59-<2019 2097 -78>,  	 G2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(73)
printNotes: i= 60-<1738 1747  -9>,  	Ek2 --   1/4th.(212) <-1*sela> 	V187 - M212	=-25  %-13  	q=-25  %-13  	 1.080(73)
printNotes: i= 61-<1651 1597  54>,  	 D2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(73)
printNotes: i= 62-<1756 1747   9>,  	Ek2 -- 1/16th..( 62) <      > 	V 64 - M 62	= +2  %+3  	q= +2  %+3  	 0.366(73)
printNotes: i= 63-<1418 2097 -679>,  	 G2 --  1/64th.( 13) <      > 	V 10 - M  9	= +1  %+10  	q= -3  %-30  	 0.052(73)
printNotes: i= 64-<1690 1747 -57>,  	Ek2 -- 1/32nd..( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(73)


silence
printNotes: i= 65-<   0   40 -40>,  	Slc --  1/4th..(248) <      > 	V242 - M248	= -6  %-2  	q= -6  %-2  	 1.399(73)
printNotes: i= 66-<1331 1197 134>,  	Bb1 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(73)
printNotes: i= 67-<1732 1747 -15>,  	Ek2 --   1/16th( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(73)
printNotes: i= 68-<1594 1597  -3>,  	 D2 --   1/32nd( 18) <      > 	V 16 - M 18	= -2  %-12  	q= -2  %-12  	 0.087(73)
printNotes: i= 69-<1732 1747 -15>,  	Ek2 --   1/16th( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(73)
printNotes: i= 70-<1893 1871  22>,  	 F2 --   1/16th( 35) <      > 	V 43 - M 35	= +8  %+19  	q= +8  %+19  	 0.244(73)
printNotes: i= 71-<2107 2097  10>,  	 G2 --  1/16th.( 53) <      > 	V 46 - M 53	= -7  %-15  	q= -7  %-15  	 0.261(73)
printNotes: i= 72-<2212 2219  -7>,  	Ak2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(73)
printNotes: i= 73-<2100 2097   3>,  	 G2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(73)
printNotes: i= 74-<2211 2219  -8>,  	Ak2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(73)
printNotes: i= 75-<1886 1871  15>,  	 F2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(73)
printNotes: i= 76-<2113 2097  16>,  	 G2 --  1/16th.( 53) <      > 	V 49 - M 53	= -4  %-8  	q= -4  %-8  	 0.279(73)
printNotes: i= 77-<2222 2219   3>,  	Ak2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(73)
printNotes: i= 78-<2388 2369  19>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 79-<2112 2097  15>,  	 G2 --   1/16th( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(73)
printNotes: i= 80-<2236 2219  17>,  	Ak2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(73)
printNotes: i= 81-<2097 2097    >,  	 G2 --    1/4th(142) <      > 	V154 - M142	=+12  %+8  	q=+12  %+8  	 0.888(73)
printNotes: i= 82-<1872 1871   1>,  	 F2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(73)
printNotes: i= 83-<2075 2097 -22>,  	 G2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(73)
printNotes: i= 84-<1875 1871   4>,  	 F2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(73)


silence
printNotes: i= 85-<   0   40 -40>,  	Slc --   1/8th.(106) <      > 	V 89 - M106	=-17  %-19  	q=-17  %-19  	 0.511(73)
printNotes: i= 86-<1565 1397 168>,  	 C2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 87-<2147 2219 -72>,  	Ak2 --  1/32nd.( 27) <      > 	V 24 - M 27	= -3  %-12  	q= -3  %-12  	 0.134(73)
printNotes: i= 88-<2057 2097 -40>,  	 G2 --    1/8th( 71) <      > 	V 74 - M 71	= +3  %+4  	q= +3  %+4  	 0.424(73)
