	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1765 1784 -19>,  	 C2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(83)
printNotes: i= 42-<1862 1922 -60>,  	Dk2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(83)
printNotes: i= 43-<1776 1784  -8>,  	 C2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)
printNotes: i= 44-<1679 1684  -5>,  	 B1 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 45-<1807 1784  23>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 46-<1789 1784   5>,  	 C2 --   1/4th.(187) <-1*sela> 	V167 - M187	=-20  %-12  	q=-20  %-12  	 0.964(83)<-- same note
printNotes: i= 47-<1003 1420 -417>,  	Ak1 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 48-<1472 1420  52>,  	Ak1 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 49-<1789 1784   5>,  	 C2 --     half(250) <2*sela> 	V288 - M250	=+38  %+13  	q=+38  %+13  	 1.666(83)
printNotes: i= 50-<2163 2170  -7>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)


silence
printNotes: i= 51-<   0   40 -40>,  	Slc --   half..(437) <      > 	V444 - M437	= +7  %+2  	q= +7  %+2  	 2.572(83)
printNotes: i= 52-<1335 1270  65>,  	 G1 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
