	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1414 2145 -731>,  	 E2 --  1/64th.( 13) <      > 	V 10 - M  9	= +1  %+10  	q= -3  %-30  	 0.052(75)
printNotes: i= 42-<1455 1670 -215>,  	 B1 -- 1/32nd..( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(75)


silence
printNotes: i= 43-<   0   40 -40>,  	Slc --   1/8th.(103) <      > 	V109 - M138	=-29  %-27  	q= +6  %+6  	 0.627(75)<-----%27   %6

printNotes: i= 44-<1334 1275  59>,  	 G1 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(75)
printNotes: i= 45-<1697 1761 -64>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 46-<1656 1670 -14>,  	 B1 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
printNotes: i= 47-<1739 1761 -22>,  	 C2 --  1/16th.( 52) <      > 	V 48 - M 52	= -4  %-8  	q= -4  %-8  	 0.273(75)
printNotes: i= 48-<1661 1670  -9>,  	 B1 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 49-<1888 1898 -10>,  	Dk2 --    1/4th(138) <      > 	V141 - M138	= +3  %+2  	q= +3  %+2  	 0.813(75)
printNotes: i= 50-<1897 1898  -1>,  	Dk2 -- 1/16th..( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(75)<-- same note
printNotes: i= 51-<1666 1670  -4>,  	 B1 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(75)
printNotes: i= 52-<1747 1761 -14>,  	 C2 --   1/4th.(206) <-2*sela> 	V172 - M138	=+34  %+20  	q=-34  %-20  	 0.993(75)
printNotes: i= 53-<1614 2145 -531>,  	 E2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 54-<1711 1761 -50>,  	 C2 --   1/16th( 34) <      > 	V 32 - M 30	= +2  %+6  	q= -2  %-6  	 0.180(75)


silence
printNotes: i= 55-<   0   40 -40>,  	Slc --    1/4th(138) <      > 	V133 - M138	= -5  %-4  	q= -5  %-4  	 0.766(75)
printNotes: i= 56-<1220 1075 145>,  	 F1 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 57-<1702 1761 -59>,  	 C2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(75)
printNotes: i= 58-<1638 1670 -32>,  	 B1 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(75)
printNotes: i= 59-<1742 1761 -19>,  	 C2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(75)
printNotes: i= 60-<1706 1670  36>,  	 B1 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
printNotes: i= 61-<1857 1898 -41>,  	Dk2 --  1/16th.( 52) <      > 	V 48 - M 52	= -4  %-8  	q= -4  %-8  	 0.273(75)
printNotes: i= 62-<2129 2145 -16>,  	 E2 --   1/4th.(206) <      > 	V194 - M206	=-12  %-6  	q=-12  %-6  	 1.120(75)
