	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2491 2496  -5>,  	 G2 --    1/8th( 49) <      > 	V 57 - M 49	= +8  %+14  	q= +8  %+14  	 0.325(105)
printNotes: i= 42-<2670 2622  48>,  	Ak2 --  1/32nd.( 19) <      > 	V 16 - M 12	= +4  %+25  	q= -3  %-19  	 0.087(105)
printNotes: i= 43-<2488 2496  -8>,  	 G2 --  1/16th.( 37) <      > 	V 39 - M 37	= +2  %+5  	q= +2  %+5  	 0.221(105)
printNotes: i= 44-<2381 2389  -8>,  	F#2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
printNotes: i= 45-<2612 2622 -10>,  	Ak2 --  1/4th..(173) <      > 	V162 - M148	=+14  %+9  	q=-11  %-7  	 0.935(105)


silence
printNotes: i= 46-<   0   40 -40>,  	Slc -- 1/32nd..( 22) <      > 	V 21 - M 54	=-33  %-157  	q= -1  %-5  	 0.116(105)<-----%157   %5

printNotes: i= 47-<1824 1815   9>,  	 C2 --   1/32nd( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(105)
printNotes: i= 48-<2405 2496 -91>,  	 G2 --   1/16th( 25) <      > 	V 28 - M 25	= +3  %+11  	q= +3  %+11  	 0.157(105)
printNotes: i= 49-<2375 2389 -14>,  	F#2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
printNotes: i= 50-<2495 2496  -1>,  	 G2 --    1/8th( 49) <      > 	V 54 - M 49	= +5  %+9  	q= +5  %+9  	 0.308(105)
printNotes: i= 51-<2658 2622  36>,  	Ak2 --   1/32nd( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(105)
printNotes: i= 52-<2481 2496 -15>,  	 G2 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)
printNotes: i= 53-<2367 2389 -22>,  	F#2 -- 1/32nd..( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(105)
printNotes: i= 54-<2344 2496 -152>,  	 G2 --  1/16th.( 37) <      > 	V 32 - M 37	= -5  %-16  	q= -5  %-16  	 0.180(105)
printNotes: i= 55-<2605 2622 -17>,  	Ak2 --   1/32nd( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(105)
printNotes: i= 56-<2395 2389   6>,  	F#2 --  1/16th.( 37) <      > 	V 31 - M 25	= +6  %+19  	q= -6  %-19  	 0.174(105)
printNotes: i= 57-<2584 2622 -38>,  	Ak2 --   1/32nd( 12) <      > 	V 14 - M 12	= +2  %+14  	q= +2  %+14  	 0.075(105)
printNotes: i= 58-<2376 2389 -13>,  	F#2 --    1/8th( 49) <      > 	V 54 - M 49	= +5  %+9  	q= +5  %+9  	 0.308(105)
printNotes: i= 59-<2615 2622  -7>,  	Ak2 --    1/4th( 99) <      > 	V108 - M 99	= +9  %+8  	q= +9  %+8  	 0.621(105)
printNotes: i= 60-<2484 2496 -12>,  	 G2 --   1/4th.(148) <      > 	V143 - M148	= -5  %-3  	q= -5  %-3  	 0.824(105)
printNotes: i= 61-<2419 2389  30>,  	F#2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
printNotes: i= 62-<2680 2772 -92>,  	Bb2 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(105)
printNotes: i= 63-<2497 2496   1>,  	 G2 --     half(198) <1*sela> 	V219 - M198	=+21  %+10  	q=+21  %+10  	 1.265(105)
printNotes: i= 64-<1387 2622 -1235>,  	Ak2 --   1/32nd( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(105)
printNotes: i= 65-<2386 2496 -110>,  	 G2 --  1/8th..( 86) <      > 	V 83 - M 86	= -3  %-4  	q= -3  %-4  	 0.476(105)


silence
printNotes: i= 66-<   0   40 -40>,  	Slc --   2whole(790) <6*sela> 	V865 - M795	=+70  %+8  	q=+75  %+9  	 5.016(105)
printNotes: i= 67-<1603 1465 138>,  	Ak1 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)
printNotes: i= 68-<1992 2622 -630>,  	Ak2 --    1/8th( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(105)
printNotes: i= 69-<2609 2622 -13>,  	Ak2 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)<-- same note
printNotes: i= 70-<2517 2496  21>,  	 G2 --    1/8th( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(105)
printNotes: i= 71-<2335 2389 -54>,  	F#2 --   1/32nd( 12) <      > 	V 14 - M 12	= +2  %+14  	q= +2  %+14  	 0.075(105)
printNotes: i= 72-<2224 2496 -272>,  	 G2 --     half(198) <2*sela> 	V225 - M198	=+27  %+12  	q=+27  %+12  	 1.300(105)
printNotes: i= 73-<2415 2389  26>,  	F#2 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(105)
printNotes: i= 74-<2497 2496   1>,  	 G2 --    1/8th( 49) <      > 	V 59 - M 49	=+10  %+17  	q=+10  %+17  	 0.337(105)
printNotes: i= 75-<2620 2622  -2>,  	Ak2 --  1/64th.(  9) <      > 	V  7 - M  9	= -2  %-29  	q= -2  %-29  	 0.035(105)
printNotes: i= 76-<1401 2845 -1444>,  	 B2 --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(105)
printNotes: i= 77-<2487 2496  -9>,  	 G2 --   1/4th.(148) <-1*sela> 	V134 - M148	=-14  %-10  	q=-14  %-10  	 0.772(105)


silence
printNotes: i= 78-< 139   40  99>,  	Slc --  1/32nd.( 19) <      > 	V 18 - M 99	=-81  %-450  	q= -1  %-6  	 0.099(105)<-----%450   %6

printNotes: i= 79-<1856 2165 -309>,  	Ek2 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(105)
printNotes: i= 80-<1193 2389 -1196>,  	F#2 --  1/16th.( 37) <      > 	V 34 - M 37	= -3  %-9  	q= -3  %-9  	 0.192(105)
printNotes: i= 81-<1443 2496 -1053>,  	 G2 --    1/4th( 99) <      > 	V 93 - M 86	= +7  %+8  	q= -6  %-6  	 0.534(105)
printNotes: i= 82-<2505 2496   9>,  	 G2 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)<-- same note
printNotes: i= 83-<2506 2496  10>,  	 G2 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)<-- same note
printNotes: i= 84-<2493 2496  -3>,  	 G2 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)<-- same note
printNotes: i= 85-<2414 2389  25>,  	F#2 --   1/32nd( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(105)
printNotes: i= 86-<2184 2496 -312>,  	 G2 --   1/8th.( 74) <      > 	V 67 - M 74	= -7  %-10  	q= -7  %-10  	 0.383(105)
printNotes: i= 87-<1491 2389 -898>,  	F#2 --   1/16th( 25) <      > 	V 29 - M 25	= +4  %+14  	q= +4  %+14  	 0.163(105)
printNotes: i= 88-<1716 2622 -906>,  	Ak2 -- 1/32nd..( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(105)
printNotes: i= 89-<2411 2389  22>,  	F#2 --  1/64th.(  9) <      > 	V  8 - M  9	= -1  %-12  	q= -1  %-12  	 0.041(105)
printNotes: i= 90-<1855 2496 -641>,  	 G2 --     half(198) <1*sela> 	V210 - M198	=+12  %+6  	q=+12  %+6  	 1.213(105)


silence
printNotes: i= 91-<   0   40 -40>,  	Slc --   1/32nd( 12) <      > 	V 15 - M 99	=-84  %-560  	q= +3  %+20  	 0.081(105)<-----%560   %20 <<

printNotes: i= 92-<1677 1465 212>,  	Ak1 --   1/32nd( 12) <      > 	V 14 - M 12	= +2  %+14  	q= +2  %+14  	 0.075(105)
printNotes: i= 93-<2372 2496 -124>,  	 G2 --  1/32nd.( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(105)
printNotes: i= 94-<2390 2389   1>,  	F#2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
printNotes: i= 95-<2513 2496  17>,  	 G2 --   1/16th( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(105)
printNotes: i= 96-<2634 2622  12>,  	Ak2 --   1/16th( 25) <      > 	V 29 - M 25	= +4  %+14  	q= +4  %+14  	 0.163(105)
printNotes: i= 97-<2790 2845 -55>,  	 B2 --  1/64th.(  9) <      > 	V  8 - M  9	= -1  %-12  	q= -1  %-12  	 0.041(105)
printNotes: i= 98-<2641 2622  19>,  	Ak2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(105)
printNotes: i= 99-<2760 2845 -85>,  	 B2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 100-<2512 2496  16>,  	 G2 --  1/16th.( 37) <      > 	V 36 - M 37	= -1  %-3  	q= -1  %-3  	 0.203(105)
printNotes: i= 101-<2670 2622  48>,  	Ak2 --  1/32nd.( 19) <      > 	V 16 - M 12	= +4  %+25  	q= -3  %-19  	 0.087(105)
printNotes: i= 102-<2413 2389  24>,  	F#2 --  1/16th.( 37) <      > 	V 37 - M 37	=  +  %+0  	q=  +  %+0  	 0.209(105)
printNotes: i= 103-<2543 2622 -79>,  	Ak2 --   1/32nd( 12) <      > 	V 14 - M 12	= +2  %+14  	q= +2  %+14  	 0.075(105)
printNotes: i= 104-<2174 2165   9>,  	Ek2 --    1/8th( 49) <      > 	V 60 - M 49	=+11  %+18  	q=+11  %+18  	 0.342(105)


silence
printNotes: i= 105-<   0   40 -40>,  	Slc --  1/64th.(  9) <      > 	V  8 - M 54	=-46  %-575  	q= -1  %-12  	 0.041(105)<-----%575   %12 <<

printNotes: i= 106-<1001 1465 -464>,  	Ak1 --  1/16th.( 37) <      > 	V 38 - M 37	= +1  %+3  	q= +1  %+3  	 0.215(105)
printNotes: i= 107-<2112 2189 -77>,  	 E2 --   1/16th( 25) <      > 	V 28 - M 25	= +3  %+11  	q= +3  %+11  	 0.157(105)
printNotes: i= 108-<2008 2015  -7>,  	 D2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
printNotes: i= 109-<2171 2165   6>,  	Ek2 -- 1/32nd..( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(105)
printNotes: i= 110-<2388 2389  -1>,  	F#2 --   1/16th( 25) <      > 	V 27 - M 25	= +2  %+7  	q= +2  %+7  	 0.151(105)
printNotes: i= 111-<2494 2496  -2>,  	 G2 --   1/16th( 25) <      > 	V 28 - M 25	= +3  %+11  	q= +3  %+11  	 0.157(105)
printNotes: i= 112-<2624 2622   2>,  	Ak2 --   1/16th( 25) <      > 	V 29 - M 25	= +4  %+14  	q= +4  %+14  	 0.163(105)
printNotes: i= 113-<2716 2772 -56>,  	Bb2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 114-<2503 2496   7>,  	 G2 --  1/16th.( 37) <      > 	V 38 - M 37	= +1  %+3  	q= +1  %+3  	 0.215(105)
printNotes: i= 115-<2647 2622  25>,  	Ak2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(105)
printNotes: i= 116-<2396 2389   7>,  	F#2 --   1/8th.( 74) <      > 	V 69 - M 74	= -5  %-7  	q= -5  %-7  	 0.395(105)
printNotes: i= 117-<2474 2496 -22>,  	 G2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
printNotes: i= 118-<2144 2165 -21>,  	Ek2 --  1/8th..( 86) <      > 	V 81 - M 74	= +7  %+9  	q= -5  %-6  	 0.464(105)
printNotes: i= 119-<2610 2622 -12>,  	Ak2 --    1/4th( 99) <      > 	V106 - M 99	= +7  %+7  	q= +7  %+7  	 0.610(105)
printNotes: i= 120-<2497 2496   1>,  	 G2 --   1/4th.(148) <      > 	V143 - M148	= -5  %-3  	q= -5  %-3  	 0.824(105)
printNotes: i= 121-<2408 2389  19>,  	F#2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
printNotes: i= 122-<2635 2622  13>,  	Ak2 --  1/64th.(  9) <      > 	V  7 - M  6	= +1  %+14  	q= -2  %-29  	 0.035(105)
printNotes: i= 123-<2515 2496  19>,  	 G2 --  1/4th..(173) <      > 	V177 - M173	= +4  %+2  	q= +4  %+2  	 1.022(105)
printNotes: i= 124-<1700 2845 -1145>,  	 B2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
printNotes: i= 125-<2526 2496  30>,  	 G2 --   1/16th( 25) <      > 	V 29 - M 25	= +4  %+14  	q= +4  %+14  	 0.163(105)


silence
printNotes: i= 126-<   0   40 -40>,  	Slc --    whole(395) <-1*sela> 	V375 - M301	=+74  %+20  	q=-20  %-5  	 2.171(105)<-----%20   %5

printNotes: i= 127-<1979 2165 -186>,  	Ek2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 128-<1651 2015 -364>,  	 D2 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)
printNotes: i= 129-<2541 2622 -81>,  	Ak2 --   1/16th( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(105)
printNotes: i= 130-<1994 2165 -171>,  	Ek2 --  1/32nd.( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(105)
printNotes: i= 131-<2483 2496 -13>,  	 G2 --    1/4th( 99) <      > 	V101 - M 99	= +2  %+2  	q= +2  %+2  	 0.580(105)
printNotes: i= 132-<1423 2496 -1073>,  	 G2 --    1/8th( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(105)<-- same note
printNotes: i= 133-<2416 2389  27>,  	F#2 --  1/64th.(  9) <      > 	V  8 - M  9	= -1  %-12  	q= -1  %-12  	 0.041(105)
printNotes: i= 134-<2514 2496  18>,  	 G2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
printNotes: i= 135-<2501 2496   5>,  	 G2 --   1/32nd( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(105)<-- same note
printNotes: i= 136-<2348 2389 -41>,  	F#2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
