	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2637 2642  -5>,  	Ak2 --    1/8th( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(92)
printNotes: i= 42-<1468 2874 -1406>,  	 B2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 43-<2602 2642 -40>,  	Ak2 --   1/8th.( 84) <      > 	V 74 - M 84	=-10  %-14  	q=-10  %-14  	 0.424(92)


silence
printNotes: i= 44-<   0   40 -40>,  	Slc --   half..(391) <      > 	V379 - M347	=+32  %+8  	q=-12  %-3  	 2.194(92)<-----%8   %3

printNotes: i= 45-<1813 1694 119>,  	 B1 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(92)
printNotes: i= 46-<2457 2494 -37>,  	 G2 -- 1/16th..( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(92)
printNotes: i= 47-<2257 2294 -37>,  	 F2 --  1/16th.( 42) <      > 	V 35 - M 28	= +7  %+20  	q= -7  %-20  	 0.197(92)
printNotes: i= 48-<2506 2494  12>,  	 G2 --   1/8th.( 84) <      > 	V 78 - M 84	= -6  %-8  	q= -6  %-8  	 0.447(92)
printNotes: i= 49-<1177 2294 -1117>,  	 F2 --   1/8th.( 84) <      > 	V 76 - M 84	= -8  %-11  	q= -8  %-11  	 0.435(92)
printNotes: i= 50-<2171 2181 -10>,  	 E2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 51-<2273 2294 -21>,  	 F2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(92)
printNotes: i= 52-<2186 2181   5>,  	 E2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 53-<2281 2294 -13>,  	 F2 -- 1/16th..( 49) <      > 	V 46 - M 42	= +4  %+9  	q= -3  %-7  	 0.261(92)
printNotes: i= 54-<2484 2494 -10>,  	 G2 --  1/8th..( 98) <      > 	V100 - M 98	= +2  %+2  	q= +2  %+2  	 0.575(92)
printNotes: i= 55-<2691 2692  -1>,  	 A2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 56-<2507 2494  13>,  	 G2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 57-<1410 2692 -1282>,  	 A2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 58-<1832 2494 -662>,  	 G2 --   1/16th( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(92)


silence
printNotes: i= 59-<   0   40 -40>,  	Slc --    1/4th(112) <      > 	V105 - M224	=-119  %-113  	q= -7  %-7  	 0.604(92)<-----%113   %7

printNotes: i= 60-<2059 1933 126>,  	Dk2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
