	voice Midi Diff								present		 Best		Sec

printNotes: i= 40-<2382 2646 -264>,  	Ak2 --   1/4th.(185) <      > 	V188 - M185	= +3  %+2  	q= +3  %+2  	 1.086(84)


silence
printNotes: i= 41-<   0   40 -40>,  	Slc --   whole.(742) <      > 	V740 - M865	=-125  %-17  	q= -2  %-0  	 4.290(84)<-----%17   %0

printNotes: i= 42-<2741 2646  95>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(84)
printNotes: i= 43-<3059 3114 -55>,  	Dk3 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 44-<2855 2878 -23>,  	 B2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(84)
printNotes: i= 45-<2965 2966  -1>,  	 C3 --  1/8th..(108) <      > 	V107 - M108	= -1  %-1  	q= -1  %-1  	 0.615(84)
printNotes: i= 46-<2898 2878  20>,  	 B2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(84)
printNotes: i= 47-<2955 2966 -11>,  	 C3 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 48-<2873 2878  -5>,  	 B2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 49-<2971 2966   5>,  	 C3 --  1/8th..(108) <      > 	V105 - M108	= -3  %-3  	q= -3  %-3  	 0.604(84)
printNotes: i= 50-<2966 2966    >,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 51-<1597 2878 -1281>,  	 B2 --  1/16th.( 46) <      > 	V 49 - M 46	= +3  %+6  	q= +3  %+6  	 0.279(84)
printNotes: i= 52-<2971 2966   5>,  	 C3 --   1/8th.( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(84)
printNotes: i= 53-<2958 2966  -8>,  	 C3 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)<-- same note
printNotes: i= 54-<2964 2966  -2>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 55-<2975 2966   9>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 56-<2587 2966 -379>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 57-<2872 2878  -6>,  	 B2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 58-<2532 2966 -434>,  	 C3 -- 1/16th..( 54) <      > 	V 56 - M 54	= +2  %+4  	q= +2  %+4  	 0.319(84)
printNotes: i= 59-<2878 2878    >,  	 B2 -- 1/16th..( 54) <      > 	V 57 - M 54	= +3  %+5  	q= +3  %+5  	 0.325(84)
printNotes: i= 60-<3093 3114 -21>,  	Dk3 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 61-<2881 2878   3>,  	 B2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 62-<3002 2966  36>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 63-<2946 2966 -20>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 64-<2953 2966 -13>,  	 C3 --    1/8th( 62) <      > 	V 60 - M 62	= -2  %-3  	q= -2  %-3  	 0.342(84)<-- same note
printNotes: i= 65-<2832 2878 -46>,  	 B2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 66-<2980 2966  14>,  	 C3 --    1/4th(124) <1*sela> 	V146 - M124	=+22  %+15  	q=+22  %+15  	 0.842(84)


silence
printNotes: i= 67-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 34 - M 69	=-35  %-103  	q= +3  %+9  	 0.192(84)<-----%103   %9

printNotes: i= 68-<2729 2646  83>,  	Ak2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(84)
printNotes: i= 69-<2913 2966 -53>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(84)
printNotes: i= 70-<2869 2878  -9>,  	 B2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 71-<2974 2966   8>,  	 C3 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(84)
printNotes: i= 72-<3136 3114  22>,  	Dk3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 73-<3351 3464 -113>,  	 F3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(84)
printNotes: i= 74-<2974 2966   8>,  	 C3 --  1/8th..(108) <      > 	V107 - M108	= -1  %-1  	q= -1  %-1  	 0.615(84)
printNotes: i= 75-<3325 3464 -139>,  	 F3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 76-<2967 2966   1>,  	 C3 --   1/8th.( 93) <      > 	V 97 - M 93	= +4  %+4  	q= +4  %+4  	 0.557(84)
printNotes: i= 77-<1782 3114 -1332>,  	Dk3 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 78-<2877 2966 -89>,  	 C3 --    1/8th( 62) <      > 	V 68 - M 62	= +6  %+9  	q= +6  %+9  	 0.389(84)
printNotes: i= 79-<3252 3364 -112>,  	 E3 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(84)
printNotes: i= 80-<2986 2966  20>,  	 C3 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(84)
printNotes: i= 81-<2863 2878 -15>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 82-<3096 3114 -18>,  	Dk3 --   1/8th.( 93) <      > 	V 96 - M 93	= +3  %+3  	q= +3  %+3  	 0.551(84)
printNotes: i= 83-<2972 2966   6>,  	 C3 -- 1/16th..( 54) <      > 	V 50 - M 46	= +4  %+8  	q= -4  %-8  	 0.284(84)
printNotes: i= 84-<3121 3114   7>,  	Dk3 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(84)


silence
printNotes: i= 85-<2978   40 2938>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 86-<2964 2966  -2>,  	 C3 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(84)
printNotes: i= 87-<2680 2878 -198>,  	 B2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 88-<3013 2966  47>,  	 C3 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 89-<2858 2878 -20>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 90-<3005 2966  39>,  	 C3 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 91-<3190 3364 -174>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)


silence
printNotes: i= 92-<2994   40 2954>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 93-<2884 2878   6>,  	 B2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 94-<3104 3114 -10>,  	Dk3 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(84)
printNotes: i= 95-<2872 2878  -6>,  	 B2 -- 1/16th..( 54) <      > 	V 50 - M 46	= +4  %+8  	q= -4  %-8  	 0.284(84)
printNotes: i= 96-<3117 3164 -47>,  	 D3 --   1/8th.( 93) <      > 	V 97 - M 93	= +4  %+4  	q= +4  %+4  	 0.557(84)
printNotes: i= 97-<2976 2966  10>,  	 C3 --    1/4th(124) <      > 	V121 - M124	= -3  %-2  	q= -3  %-2  	 0.697(84)
printNotes: i= 98-<2883 2878   5>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 99-<2845 2966 -121>,  	 C3 --     half(247) <      > 	V244 - M247	= -3  %-1  	q= -3  %-1  	 1.411(84)


silence
printNotes: i= 100-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 22 - M 67	=-45  %-205  	q= -1  %-5  	 0.122(84)<-----%205   %5

printNotes: i= 101-<2939 2966 -27>,  	 C3 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)
printNotes: i= 102-<2897 2878  19>,  	 B2 --  1/16th.( 46) <      > 	V 49 - M 46	= +3  %+6  	q= +3  %+6  	 0.279(84)
printNotes: i= 103-<2975 2966   9>,  	 C3 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i= 104-<3220 3364 -144>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 105-<2825 2966 -141>,  	 C3 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i= 106-<3210 3364 -154>,  	 E3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 107-<2985 2966  19>,  	 C3 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(84)
printNotes: i= 108-<3132 3114  18>,  	Dk3 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
