	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2081 2729 -648>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 42-<2844 2904 -60>,  	 B2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)


silence
printNotes: i= 43-<   0   40 -40>,  	Slc -- 1/16th..( 51) <      > 	V 51 - M 56	= -5  %-10  	q=  +  %+0  	 0.290(89)<-----%10   %0

printNotes: i= 44-<2740 2804 -64>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 45-<2727 2701  26>,  	Ak2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(89)
printNotes: i= 46-<2807 2804   3>,  	Bb2 --    1/8th( 58) <      > 	V 59 - M 58	= +1  %+2  	q= +1  %+2  	 0.337(89)
printNotes: i= 47-<3040 3113 -73>,  	Db3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i= 48-<2830 2804  26>,  	Bb2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(89)
printNotes: i= 49-<3020 3113 -93>,  	Db3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 50-<2725 2701  24>,  	Ak2 --   1/8th.( 87) <      > 	V 85 - M 87	= -2  %-2  	q= -2  %-2  	 0.488(89)
printNotes: i= 51-<2556 2533  23>,  	 G2 --    1/8th( 58) <      > 	V 61 - M 58	= +3  %+5  	q= +3  %+5  	 0.348(89)
printNotes: i= 52-<2715 2701  14>,  	Ak2 --    1/8th( 58) <      > 	V 61 - M 58	= +3  %+5  	q= +3  %+5  	 0.348(89)
printNotes: i= 53-<2921 3013 -92>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 54-<2734 2701  33>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 55-<2647 3013 -366>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 56-<2213 2533 -320>,  	 G2 --   1/8th.( 87) <      > 	V 78 - M 87	= -9  %-12  	q= -9  %-12  	 0.447(89)
printNotes: i= 57-<2112 2329 -217>,  	 F2 --  1/8th..(101) <      > 	V107 - M116	= -9  %-8  	q= +6  %+6  	 0.615(89)
printNotes: i= 58-<2542 2533   9>,  	 G2 -- 1/16th..( 51) <      > 	V 48 - M 51	= -3  %-6  	q= -3  %-6  	 0.273(89)
printNotes: i= 59-<2801 2804  -3>,  	Bb2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 60-<2574 2533  41>,  	 G2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)
printNotes: i= 61-<2730 2804 -74>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 62-<2330 2329   1>,  	 F2 --    1/4th(116) <1*sela> 	V142 - M116	=+26  %+18  	q=+26  %+18  	 0.819(89)
printNotes: i= 63-<2222 2183  39>,  	Ek2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 64-<2334 2329   5>,  	 F2 --     half(232) <1*sela> 	V259 - M232	=+27  %+10  	q=+27  %+10  	 1.498(89)
printNotes: i= 65-<2472 2533 -61>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(89)


silence
printNotes: i= 66-<   0   40 -40>,  	Slc --   whole.(695) <2*sela> 	V729 - M695	=+34  %+5  	q=+34  %+5  	 4.226(89)
printNotes: i= 67-<1599 2329 -730>,  	 F2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
printNotes: i= 68-<2145 2533 -388>,  	 G2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)
printNotes: i= 69-<2520 2533 -13>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)<-- same note
printNotes: i= 70-<2689 2701 -12>,  	Ak2 --    1/4th(116) <      > 	V116 - M116	=  +  %+0  	q=  +  %+0  	 0.668(89)
printNotes: i= 71-<2731 2701  30>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 14	= -2  %-17  	q= +1  %+8  	 0.064(89)<-- same note
printNotes: i= 72-<2698 3013 -315>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)
printNotes: i= 73-<2169 2701 -532>,  	Ak2 --    1/4th(116) <      > 	V116 - M116	=  +  %+0  	q=  +  %+0  	 0.668(89)
printNotes: i= 74-<2208 2701 -493>,  	Ak2 --  1/4th..(203) <1*sela> 	V217 - M232	=-15  %-7  	q=+14  %+6  	 1.254(89)<-- same note
printNotes: i= 75-<2677 2701 -24>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 76-<2659 2701 -42>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 77-<2682 2701 -19>,  	Ak2 --   1/8th.( 87) <      > 	V 87 - M 87	=  +  %+0  	q=  +  %+0  	 0.499(89)<-- same note
printNotes: i= 78-<2765 2701  64>,  	Ak2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(89)<-- same note
printNotes: i= 79-<2380 3013 -633>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 80-<2538 2701 -163>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)


silence
printNotes: i= 81-<   0   40 -40>,  	Slc --  1/4th..(203) <      > 	V197 - M209	=-12  %-6  	q= -6  %-3  	 1.138(89)
printNotes: i= 82-<1742 1626 116>,  	Bb1 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(89)
printNotes: i= 83-<2202 2229 -27>,  	 E2 -- 1/16th..( 51) <      > 	V 49 - M 51	= -2  %-4  	q= -2  %-4  	 0.279(89)
