	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2038 2032   6>,  	 D2 --    1/8th( 68) <      > 	V 82 - M 68	=+14  %+17  	q=+14  %+17  	 0.470(77)
printNotes: i= 42-<2249 2316 -67>,  	 F2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 43-<2200 2166  34>,  	Ek2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 44-<2411 2416  -5>,  	F#2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --    1/4th(135) <      > 	V146 - M149	= -3  %-2  	q=+11  %+8  	 0.842(77)
printNotes: i= 46-<1583 1513  70>,  	 A1 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 47-<1865 1813  52>,  	 C2 --   1/16th( 34) <      > 	V 42 - M 51	= -9  %-21  	q= +8  %+19  	 0.238(77)
printNotes: i= 48-<2033 2032   1>,  	 D2 -- 1/16th..( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(77)
printNotes: i= 49-<2229 2316 -87>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 50-<2050 2032  18>,  	 D2 -- 1/32nd..( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(77)
printNotes: i= 51-<1824 1813  11>,  	 C2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 52-<2028 2032  -4>,  	 D2 -- 1/32nd..( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(77)
printNotes: i= 53-<2143 2166 -23>,  	Ek2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 54-<1815 1813   2>,  	 C2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 55-<2091 2132 -41>,  	Eb2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 56-<1834 1813  21>,  	 C2 -- 1/16th..( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(77)
printNotes: i= 57-<2108 2166 -58>,  	Ek2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 58-<2033 2032   1>,  	 D2 --   1/8th.(101) <      > 	V101 - M101	=  +  %+0  	q=  +  %+0  	 0.580(77)
printNotes: i= 59-<1849 1813  36>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 15	= +2  %+12  	q=  +  %+0  	 0.093(77)<-----%12   %0

printNotes: i= 60-<2102 2166 -64>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 34	=-22  %-183  	q= -1  %-8  	 0.064(77)<-----%183   %8 <<

printNotes: i= 61-<2037 2032   5>,  	 D2 --  1/8th..(118) <      > 	V111 - M101	=+10  %+9  	q= -7  %-6  	 0.639(77)
printNotes: i= 62-<2045 2032  13>,  	 D2 --  1/16th.( 51) <      > 	V 51 - M 51	=  +  %+0  	q=  +  %+0  	 0.290(77)<-- same note
printNotes: i= 63-<2357 2316  41>,  	 F2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)


silence
printNotes: i= 64-<   0   40 -40>,  	Slc --     half(270) <      > 	V274 - M270	= +4  %+1  	q= +4  %+1  	 1.585(77)
printNotes: i= 65-<1361 1313  48>,  	 G1 --  1/64th.( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(77)<-----%15   %0 <<

printNotes: i= 66-<1772 1813 -41>,  	 C2 --  1/16th.( 51) <      > 	V 43 - M 51	= -8  %-19  	q= -8  %-19  	 0.244(77)
printNotes: i= 67-<2268 2316 -48>,  	 F2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
