	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2765 2815 -50>,  	Bb2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(90)
printNotes: i= 42-<2676 2663  13>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(90)
printNotes: i= 43-<2534 2515  19>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(90)
printNotes: i= 44-<2661 2663  -2>,  	Ak2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(90)
printNotes: i= 45-<2805 2815 -10>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 46-<2508 2515  -7>,  	 G2 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(90)
printNotes: i= 47-<2738 2815 -77>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(90)
printNotes: i= 48-<2505 2515 -10>,  	 G2 --   1/8th.( 86) <      > 	V 83 - M 86	= -3  %-4  	q= -3  %-4  	 0.476(90)
printNotes: i= 49-<2649 2663 -14>,  	Ak2 --    1/4th(115) <      > 	V117 - M115	= +2  %+2  	q= +2  %+2  	 0.673(90)
printNotes: i= 50-<2514 2515  -1>,  	 G2 -- 1/16th..( 50) <      > 	V 52 - M 50	= +2  %+4  	q= +2  %+4  	 0.296(90)
printNotes: i= 51-<1950 2663 -713>,  	Ak2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 52-<2449 2515 -66>,  	 G2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(90)


silence
printNotes: i= 53-<   0   40 -40>,  	Slc --  1/8th..(100) <      > 	V100 - M106	= -6  %-6  	q=  +  %+0  	 0.575(90)
printNotes: i= 54-<1883 1709 174>,  	 B1 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(90)
printNotes: i= 55-<2598 2663 -65>,  	Ak2 -- 1/16th..( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(90)
printNotes: i= 56-<2514 2515  -1>,  	 G2 --   1/4th.(172) <      > 	V160 - M172	=-12  %-8  	q=-12  %-8  	 0.923(90)
printNotes: i= 57-<2648 2663 -15>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 58-<2517 2515   2>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 59-<2624 2615   9>,  	Ab2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(90)
printNotes: i= 60-<2794 2815 -21>,  	Bb2 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(90)
printNotes: i= 61-<2475 2663 -188>,  	Ak2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(90)
printNotes: i= 62-<2899 2915 -16>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(90)
printNotes: i= 63-<2681 2663  18>,  	Ak2 --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(90)
printNotes: i= 64-<2801 2815 -14>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(90)
printNotes: i= 65-<2516 2515   1>,  	 G2 --  1/16th.( 43) <      > 	V 39 - M 43	= -4  %-10  	q= -4  %-10  	 0.221(90)
printNotes: i= 66-<2769 2815 -46>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(90)
printNotes: i= 67-<2519 2515   4>,  	 G2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(90)
printNotes: i= 68-<2649 2663 -14>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(90)
printNotes: i= 69-<2301 2312 -11>,  	 F2 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(90)
printNotes: i= 70-<2509 2515  -6>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 71-<2329 2312  17>,  	 F2 --    1/4th(115) <      > 	V124 - M115	= +9  %+7  	q= +9  %+7  	 0.714(90)
printNotes: i= 72-<2521 2515   6>,  	 G2 --    1/8th( 57) <      > 	V 55 - M 57	= -2  %-4  	q= -2  %-4  	 0.313(90)
printNotes: i= 73-<2525 2915 -390>,  	 B2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(90)
printNotes: i= 74-<2315 2515 -200>,  	 G2 -- 1/32nd..( 25) <      > 	V 24 - M 22	= +2  %+8  	q= -1  %-4  	 0.134(90)<-----%8   %4



silence
printNotes: i= 75-<   0   40 -40>,  	Slc --   1/8th.( 86) <      > 	V 80 - M 86	= -6  %-8  	q= -6  %-8  	 0.459(90)
printNotes: i= 76-<1709 1509 200>,  	 A1 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(90)
printNotes: i= 77-<2471 2515 -44>,  	 G2 --    1/8th( 57) <      > 	V 55 - M 57	= -2  %-4  	q= -2  %-4  	 0.313(90)
printNotes: i= 78-<2331 2312  19>,  	 F2 --  1/8th..(100) <      > 	V103 - M100	= +3  %+3  	q= +3  %+3  	 0.592(90)
printNotes: i= 79-<2639 2663 -24>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 80-<2508 2515  -7>,  	 G2 --  1/16th.( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(90)
printNotes: i= 81-<2671 2663   8>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i= 82-<2544 2515  29>,  	 G2 --  1/32nd.( 22) <      > 	V 18 - M 22	= -4  %-22  	q= -4  %-22  	 0.099(90)
printNotes: i= 83-<2727 2815 -88>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(90)
printNotes: i= 84-<2532 2515  17>,  	 G2 --  1/16th.( 43) <      > 	V 38 - M 43	= -5  %-13  	q= -5  %-13  	 0.215(90)
printNotes: i= 85-<2236 2312 -76>,  	 F2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(90)
printNotes: i= 86-<2534 2515  19>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(90)
