	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<3112 3196 -84>,  	 D3 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(85)
printNotes: i= 42-<3019 3018   1>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 43-<3068 3196 -128>,  	 D3 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(85)
printNotes: i= 44-<2835 2817  18>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(85)
printNotes: i= 45-<3101 3196 -95>,  	 D3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)
printNotes: i= 46-<2793 2817 -24>,  	Bb2 --    1/4th(122) <1*sela> 	V137 - M122	=+15  %+11  	q=+15  %+11  	 0.789(85)
printNotes: i= 47-<3011 3018  -7>,  	 C3 --    1/8th( 61) <      > 	V 66 - M 61	= +5  %+8  	q= +5  %+8  	 0.377(85)
printNotes: i= 48-<3226 3196  30>,  	 D3 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(85)
printNotes: i= 49-<2825 2817   8>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 50-<3010 3018  -8>,  	 C3 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(85)
printNotes: i= 51-<2834 2817  17>,  	Bb2 --    1/4th(122) <1*sela> 	V139 - M122	=+17  %+12  	q=+17  %+12  	 0.801(85)
printNotes: i= 52-<2659 2661  -2>,  	Ak2 --  1/16th.( 46) <      > 	V 42 - M 46	= -4  %-10  	q= -4  %-10  	 0.238(85)
printNotes: i= 53-<2531 2537  -6>,  	 G2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(85)
printNotes: i= 54-<2780 2817 -37>,  	Bb2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(85)
printNotes: i= 55-<2974 3018 -44>,  	 C3 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(85)
printNotes: i= 56-<2830 2817  13>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 57-<2928 3018 -90>,  	 C3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(85)
printNotes: i= 58-<2696 2661  35>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 59-<2710 2817 -107>,  	Bb2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 60-<2774 3018 -244>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
printNotes: i= 61-<2502 2661 -159>,  	Ak2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(85)
printNotes: i= 62-<2958 3018 -60>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(85)
printNotes: i= 63-<2661 2661    >,  	Ak2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(85)
printNotes: i= 64-<2776 2817 -41>,  	Bb2 --   1/4th.(183) <      > 	V171 - M183	=-12  %-7  	q=-12  %-7  	 0.987(85)
printNotes: i= 65-<3003 3018 -15>,  	 C3 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 66-<3161 3196 -35>,  	 D3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
printNotes: i= 67-<2651 2661 -10>,  	Ak2 --    1/8th( 61) <      > 	V 73 - M 61	=+12  %+16  	q=+12  %+16  	 0.418(85)
printNotes: i= 68-<2535 2537  -2>,  	 G2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(85)
printNotes: i= 69-<2676 2661  15>,  	Ak2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)


silence
