	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<1985 1977   8>,  	 D2 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 39-<2069 2124 -55>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(86)<-----%114   %7 <<

printNotes: i= 40-<1778 1766  12>,  	 C2 -- 1/16th..( 53) <      > 	V 53 - M 60	= -7  %-13  	q=  +  %+0  	 0.302(86)<-----%13   %0

printNotes: i= 41-<1974 1977  -3>,  	 D2 -- 1/16th..( 53) <      > 	V 53 - M 45	= +8  %+15  	q=  +  %+0  	 0.302(86)<-----%15   %0

printNotes: i= 42-<2079 2124 -45>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 30	=-10  %-50  	q= -3  %-15  	 0.110(86)<-----%50   %15

printNotes: i= 43-<1967 1977 -10>,  	 D2 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(86)
printNotes: i= 44-<2080 2124 -44>,  	Ek2 --   1/16th( 30) <      > 	V 33 - M 45	=-12  %-36  	q= +3  %+9  	 0.186(86)<-----%36   %9

printNotes: i= 45-<1984 1977   7>,  	 D2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 46-<2124 2124    >,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 47-<1978 1977   1>,  	 D2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(86)
printNotes: i= 48-<2056 2124 -68>,  	Ek2 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(86)<-----%67   %22 <<

