	voice Midi Diff								present		 Best		Sec

printNotes: i= 38-<2638 2659 -21>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 39-<2510 2476  34>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 15	=+15  %+50  	q=  +  %+0  	 0.168(86)<-----%50   %0

printNotes: i= 40-<2713 2659  54>,  	 A2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)


silence
printNotes: i= 41-<   0   40 -40>,  	Slc --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 42-<2514 2476  38>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 43-<2280 2265  15>,  	 F2 --    half.(363) <      > 	V377 - M363	=+14  %+4  	q=+14  %+4  	 2.183(86)


silence
printNotes: i= 44-<   0   40 -40>,  	Slc --    half.(363) <      > 	V360 - M363	= -3  %-1  	q= -3  %-1  	 2.084(86)
printNotes: i= 45-<1189 1998 -809>,  	 D2 --   1/8th.( 91) <      > 	V 81 - M 45	=+36  %+44  	q=-10  %-12  	 0.464(86)<-----%44   %12

printNotes: i= 46-<2039 2119 -80>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 47-<2261 2265  -4>,  	 F2 --     half(242) <      > 	V233 - M242	= -9  %-4  	q= -9  %-4  	 1.347(86)
printNotes: i= 48-<2059 2119 -60>,  	Ek2 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 49-<2478 2476   2>,  	 G2 --   1/8th.( 91) <      > 	V 90 - M121	=-31  %-34  	q= -1  %-1  	 0.517(86)<-----%34   %1

printNotes: i= 50-<2680 2659  21>,  	 A2 -- 1/32nd..( 26) <      > 	V 27 - M 15	=+12  %+44  	q= +1  %+4  	 0.151(86)<-----%44   %4

printNotes: i= 51-<2481 2476   5>,  	 G2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
printNotes: i= 52-<2004 2659 -655>,  	 A2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 53-<2072 2265 -193>,  	 F2 --   1/4th.(181) <      > 	V179 - M181	= -2  %-1  	q= -2  %-1  	 1.033(86)
printNotes: i= 54-<2516 2476  40>,  	 G2 --   1/8th.( 91) <      > 	V 90 - M 30	=+60  %+67  	q= -1  %-1  	 0.517(86)<-----%67   %1



silence
printNotes: i= 55-<   0   40 -40>,  	Slc --   1/8th.( 91) <      > 	V 90 - M 91	= -1  %-1  	q= -1  %-1  	 0.517(86)
printNotes: i= 56-< 824 2119 -1295>,  	Ek2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 57-<2223 2265 -42>,  	 F2 --     half(242) <2*sela> 	V273 - M242	=+31  %+11  	q=+31  %+11  	 1.579(86)
printNotes: i= 58-<2139 2119  20>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 59-<2258 2265  -7>,  	 F2 --     half(242) <      > 	V249 - M242	= +7  %+3  	q= +7  %+3  	 1.440(86)
printNotes: i= 60-<2152 2119  33>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i= 61-<2276 2265  11>,  	 F2 --    1/4th(121) <1*sela> 	V149 - M121	=+28  %+19  	q=+28  %+19  	 0.859(86)
printNotes: i= 62-<2143 2119  24>,  	Ek2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(86)<-----%58   %21

printNotes: i= 63-<2309 2265  44>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 64-<2513 2476  37>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 15	=+12  %+44  	q= +1  %+4  	 0.151(86)<-----%44   %4

printNotes: i= 65-<2464 2659 -195>,  	 A2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(86)<-----%50   %10 <<

printNotes: i= 66-<2265 2476 -211>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 67-<2106 2265 -159>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 68-<2124 2119   5>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 69-<1961 1998 -37>,  	 D2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 70-<2115 2119  -4>,  	Ek2 --    1/8th( 60) <1*sela> 	V 75 - M 60	=+15  %+20  	q=+15  %+20  	 0.430(86)
printNotes: i= 71-<2055 1998  57>,  	 D2 -- 1/16th..( 53) <      > 	V 49 - M 60	=-11  %-22  	q= -4  %-8  	 0.279(86)<-----%22   %8



silence
printNotes: i= 72-<   0   40 -40>,  	Slc --    1/4th(121) <      > 	V128 - M121	= +7  %+5  	q= +7  %+5  	 0.737(86)
printNotes: i= 73-<1953 1998 -45>,  	 D2 --     half(242) <      > 	V234 - M242	= -8  %-3  	q= -8  %-3  	 1.353(86)
printNotes: i= 74-<2127 2119   8>,  	Ek2 --   1/8th.( 91) <      > 	V 96 - M 60	=+36  %+38  	q= +5  %+5  	 0.551(86)<-----%38   %5

printNotes: i= 75-<2013 1998  15>,  	 D2 -- 1/32nd..( 26) <      > 	V 25 - M 60	=-35  %-140  	q= -1  %-4  	 0.139(86)<-----%140   %4

printNotes: i= 76-<2255 2265 -10>,  	 F2 --    1/4th(121) <      > 	V123 - M121	= +2  %+2  	q= +2  %+2  	 0.708(86)
printNotes: i= 77-<2451 2476 -25>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)
printNotes: i= 78-<2275 2265  10>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(86)<-----%114   %7 <<

printNotes: i= 79-<2439 2476 -37>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 80-<2632 2659 -27>,  	 A2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i= 81-<2507 2476  31>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 45	=-14  %-45  	q= +1  %+3  	 0.174(86)<-----%45   %3

printNotes: i= 82-<1655 2659 -1004>,  	 A2 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(86)<-----%29   %7

printNotes: i= 83-<2485 2476   9>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 84-<2240 2265 -25>,  	 F2 --    half.(363) <-2*sela> 	V325 - M363	=-38  %-12  	q=-38  %-12  	 1.881(86)


silence
printNotes: i= 85-<   0   40 -40>,  	Slc --  whole..(846) <2*sela> 	V878 - M725	=+153  %+17  	q=+32  %+4  	 5.091(86)<-----%17   %4

printNotes: i= 86-<1527 2265 -738>,  	 F2 --    1/8th( 60) <      > 	V 61 - M 45	=+16  %+26  	q= +1  %+2  	 0.348(86)<-----%26   %2

printNotes: i= 87-<2886 2946 -60>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(86)<-----%76   %12

printNotes: i= 88-<2691 2729 -38>,  	Bb2 --    1/4th(121) <      > 	V122 - M121	= +1  %+1  	q= +1  %+1  	 0.702(86)
printNotes: i= 89-<2971 2946  25>,  	 C3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
printNotes: i= 90-<1818 2659 -841>,  	 A2 --    1/4th(121) <1*sela> 	V140 - M121	=+19  %+14  	q=+19  %+14  	 0.807(86)
printNotes: i= 91-<2738 2729   9>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 92-<2667 2659   8>,  	 A2 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 93-<2714 2729 -15>,  	Bb2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)


silence
printNotes: i= 94-< 157   40 117>,  	Slc --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 95-<2456 2476 -20>,  	 G2 --   1/8th.( 91) <      > 	V 85 - M 60	=+25  %+29  	q= -6  %-7  	 0.488(86)<-----%29   %7

printNotes: i= 96-<2654 2659  -5>,  	 A2 --  1/8th..(106) <      > 	V102 - M121	=-19  %-19  	q= -4  %-4  	 0.586(86)<-----%19   %4

printNotes: i= 97-<3053 2476 577>,  	 G2 --    1/4th(121) <      > 	V121 - M 30	=+91  %+75  	q=  +  %+0  	 0.697(86)<-----%75   %0



silence
printNotes: i= 98-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 19 - M 60	=-41  %-216  	q= -4  %-21  	 0.104(86)<-----%216   %21

printNotes: i= 99-<2226 2659 -433>,  	 A2 --  1/16th.( 45) <      > 	V 44 - M 30	=+14  %+32  	q= -1  %-2  	 0.250(86)<-----%32   %2

printNotes: i= 100-<2631 2659 -28>,  	 A2 --   1/8th.( 91) <      > 	V 91 - M 91	=  +  %+0  	q=  +  %+0  	 0.522(86)<-- same note
printNotes: i= 101-<2479 2476   3>,  	 G2 --  1/16th.( 45) <      > 	V 40 - M 60	=-20  %-50  	q= -5  %-12  	 0.226(86)<-----%50   %12

printNotes: i= 102-<2649 2659 -10>,  	 A2 --  1/16th.( 45) <      > 	V 46 - M 60	=-14  %-30  	q= +1  %+2  	 0.261(86)<-----%30   %2

printNotes: i= 103-<2497 2476  21>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 104-<1209 2659 -1450>,  	 A2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 105-<2235 2476 -241>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 106-<1833 2265 -432>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 107-<2006 2476 -470>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(86)<-----%50   %10 <<

printNotes: i= 108-<1881 2265 -384>,  	 F2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 109-<2123 2119   4>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(86)<-----%114   %7 <<

printNotes: i= 110-<2268 2265   3>,  	 F2 -- 1/16th..( 53) <      > 	V 56 - M 60	= -4  %-7  	q= +3  %+5  	 0.319(86)
printNotes: i= 111-<2463 2476 -13>,  	 G2 --    1/8th( 60) <      > 	V 64 - M 91	=-27  %-42  	q= +4  %+6  	 0.366(86)<-----%42   %6

printNotes: i= 112-<2276 2265  11>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 113-<2467 2476  -9>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 114-<1985 2265 -280>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 115-<2097 2119 -22>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 116-< 625 2265 -1640>,  	 F2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(86)<-----%114   %0 <<

printNotes: i= 117-<2098 2119 -21>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 118-<1962 1998 -36>,  	 D2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(86)<-----%58   %21

printNotes: i= 119-<2100 2119 -19>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 120-<1975 2265 -290>,  	 F2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(86)
printNotes: i= 121-<2107 2119 -12>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 122-< 501 2265 -1764>,  	 F2 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(86)<-----%67   %22 <<

printNotes: i= 123-<2155 2119  36>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 124-<1969 1998 -29>,  	 D2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 125-<1956 2119 -163>,  	Ek2 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(86)<-----%67   %22 <<

printNotes: i= 126-<1976 1998 -22>,  	 D2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 127-<1785 1798 -13>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(86)<-----%67   %17

printNotes: i= 128-<1732 1998 -266>,  	 D2 --   1/4th.(181) <      > 	V171 - M121	=+50  %+29  	q=-10  %-6  	 0.987(86)<-----%29   %6



silence
printNotes: i= 129-<   0   40 -40>,  	Slc --  1/8th..(106) <      > 	V101 - M121	=-20  %-20  	q= -5  %-5  	 0.580(86)<-----%20   %5

printNotes: i= 130-<1623 1798 -175>,  	 C2 --    1/8th( 60) <      > 	V 58 - M 60	= -2  %-3  	q= -2  %-3  	 0.331(86)
printNotes: i= 131-<1984 1998 -14>,  	 D2 --    1/4th(121) <      > 	V128 - M121	= +7  %+5  	q= +7  %+5  	 0.737(86)
printNotes: i= 132-<2072 2119 -47>,  	Ek2 --  1/16th.( 45) <      > 	V 41 - M 30	=+11  %+27  	q= -4  %-10  	 0.232(86)<-----%27   %10

printNotes: i= 133-<2257 2265  -8>,  	 F2 --  1/4th..(212) <      > 	V205 - M242	=-37  %-18  	q= -7  %-3  	 1.184(86)<-----%18   %3

printNotes: i= 134-<2451 2476 -25>,  	 G2 --  1/16th.( 45) <      > 	V 39 - M 60	=-21  %-54  	q= -6  %-15  	 0.221(86)<-----%54   %15

