	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1772 1989 -217>,  	 D2 --   1/16th( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(74)


silence
printNotes: i= 42-<   0   40 -40>,  	Slc --     half(281) <      > 	V283 - M287	= -4  %-1  	q= +2  %+1  	 1.637(74)
printNotes: i= 43-<1954 1989 -35>,  	 D2 --  1/4th..(246) <      > 	V235 - M246	=-11  %-5  	q=-11  %-5  	 1.358(74)
printNotes: i= 44-<2120 2126  -6>,  	Ek2 --  1/32nd.( 26) <      > 	V 23 - M 26	= -3  %-13  	q= -3  %-13  	 0.128(74)
printNotes: i= 45-<2351 2362 -11>,  	F#2 --   1/64th(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(74)
printNotes: i= 46-<2153 2126  27>,  	Ek2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 47-<2425 2484 -59>,  	 G2 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(74)
printNotes: i= 48-<2282 2262  20>,  	 F2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(74)
printNotes: i= 49-<2321 2662 -341>,  	 A2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i= 50-<2159 2262 -103>,  	 F2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(74)
printNotes: i= 51-<2282 2662 -380>,  	 A2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(74)
printNotes: i= 52-<2410 2484 -74>,  	 G2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(74)
printNotes: i= 53-<1619 2862 -1243>,  	 B2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(74)
printNotes: i= 54-<2488 2484   4>,  	 G2 --    1/4th(140) <      > 	V155 - M140	=+15  %+10  	q=+15  %+10  	 0.894(74)
printNotes: i= 55-<2682 2662  20>,  	 A2 --    1/4th(140) <      > 	V134 - M140	= -6  %-4  	q= -6  %-4  	 0.772(74)
printNotes: i= 56-<2502 2484  18>,  	 G2 --   1/32nd( 18) <      > 	V 16 - M 15	= +1  %+6  	q= -2  %-12  	 0.087(74)
printNotes: i= 57-<2145 2862 -717>,  	 B2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i= 58-<2482 2484  -2>,  	 G2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(74)
printNotes: i= 59-<2301 2662 -361>,  	 A2 --  128th..(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(74)
printNotes: i= 60-<   0 2484 -2484>,  	 G2 --    128th(  4) <      > 	V  2 - M  4	= -2  %-100  	q= -2  %-100  	 0.006(74)
printNotes: i= 61-<2122 2262 -140>,  	 F2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(74)
printNotes: i= 62-<2149 2484 -335>,  	 G2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(74)
printNotes: i= 63-<2274 2262  12>,  	 F2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(74)
printNotes: i= 64-<1826 2484 -658>,  	 G2 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(74)
printNotes: i= 65-<2121 2126  -5>,  	Ek2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(74)
printNotes: i= 66-<1950 2362 -412>,  	F#2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 67-<2029 2126 -97>,  	Ek2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(74)
printNotes: i= 68-<2429 2484 -55>,  	 G2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 69-<2270 2262   8>,  	 F2 --     half(281) <      > 	V267 - M281	=-14  %-5  	q=-14  %-5  	 1.544(74)
