	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<1545 1498  47>,  	 A1 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(83)
printNotes: i= 42-<1995 1998  -3>,  	 D2 --  1/4th..(218) <      > 	V220 - M218	= +2  %+1  	q= +2  %+1  	 1.271(83)
printNotes: i= 43-<2141 2119  22>,  	Ek2 --    1/4th(125) <      > 	V127 - M125	= +2  %+2  	q= +2  %+2  	 0.731(83)
printNotes: i= 44-<2056 1998  58>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(83)
printNotes: i= 45-<2263 2265  -2>,  	 F2 --    1/4th(125) <      > 	V128 - M125	= +3  %+2  	q= +3  %+2  	 0.737(83)
printNotes: i= 46-<2450 2476 -26>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 47-<2274 2265   9>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(83)
printNotes: i= 48-<2464 2476 -12>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i= 49-<2638 2659 -21>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(83)
printNotes: i= 50-<2513 2476  37>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 51-<2747 2729  18>,  	Bb2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 52-<2666 2659   7>,  	 A2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(83)


silence
printNotes: i= 53-<   0   40 -40>,  	Slc --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 54-<2514 2476  38>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(83)
printNotes: i= 55-<2266 2265   1>,  	 F2 --    half.(374) <      > 	V364 - M374	=-10  %-3  	q=-10  %-3  	 2.107(83)
printNotes: i= 56-<2688 2729 -41>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(83)


silence
printNotes: i= 57-<   0   40 -40>,  	Slc --    half.(374) <      > 	V360 - M374	=-14  %-4  	q=-14  %-4  	 2.084(83)
