	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2283 2267  16>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 42-<1963 2478 -515>,  	 G2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i= 43-<2281 2267  14>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 44-<2145 2140   5>,  	Ek2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 45-<1628 2478 -850>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 46-<2022 2140 -118>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 47-<2459 2478 -19>,  	 G2 --   128th.(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(81)
printNotes: i= 48-<2265 2267  -2>,  	 F2 --   1/4th.(193) <-1*sela> 	V167 - M193	=-26  %-16  	q=-26  %-16  	 0.964(81)
printNotes: i= 49-<2475 2478  -3>,  	 G2 --   1/8th.( 96) <      > 	V100 - M 96	= +4  %+4  	q= +4  %+4  	 0.575(81)
printNotes: i= 50-<2177 2140  37>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 51-<2448 2478 -30>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 52-<2263 2267  -4>,  	 F2 --     half(257) <      > 	V257 - M257	=  +  %+0  	q=  +  %+0  	 1.486(81)
printNotes: i= 53-<2452 2478 -26>,  	 G2 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(81)


silence
printNotes: i= 54-<   9   40 -31>,  	Slc --   2whole(1027) <14*sela> 	V1266 - M1040	=+226  %+18  	q=+239  %+19  	 7.343(81)
printNotes: i= 55-<2489 2478  11>,  	 G2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 56-<2301 2267  34>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 57-<2654 2737 -83>,  	Bb2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)


silence
printNotes: i= 58-<  64   40  24>,  	Slc --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(81)
printNotes: i= 59-<2667 2672  -5>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 60-<2488 2478  10>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 61-<1531 2737 -1206>,  	Bb2 -- 1/16th..( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(81)
printNotes: i= 62-<2362 2672 -310>,  	 A2 --   1/4th.(193) <-1*sela> 	V170 - M193	=-23  %-14  	q=-23  %-14  	 0.981(81)
printNotes: i= 63-<2661 2737 -76>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)


silence
printNotes: i= 64-< 658   40 618>,  	Slc --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 65-<1935 2672 -737>,  	 A2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(81)
printNotes: i= 66-<2724 2737 -13>,  	Bb2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(81)
printNotes: i= 67-<2656 2672 -16>,  	 A2 --  1/8th..(112) <      > 	V111 - M112	= -1  %-1  	q= -1  %-1  	 0.639(81)
printNotes: i= 68-<2737 2737    >,  	Bb2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 69-<2671 2672  -1>,  	 A2 --    1/4th(128) <      > 	V121 - M128	= -7  %-6  	q= -7  %-6  	 0.697(81)


silence
printNotes: i= 70-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 71-<1627 1590  37>,  	Bb1 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 72-<1509 1790 -281>,  	 C2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(81)
printNotes: i= 73-<2618 2672 -54>,  	 A2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 74-<2501 2478  23>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 75-<2603 2737 -134>,  	Bb2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 76-<2210 2478 -268>,  	 G2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 77-<2643 2672 -29>,  	 A2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 78-<2814 2737  77>,  	Bb2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 79-<2913 2958 -45>,  	 C3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 80-<2723 2672  51>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
