	voice Midi Diff								present		 Best		Sec

printNotes: i= 41-<2272 2267   5>,  	 F2 --   1/8th.(119) <      > 	V126 - M119	= +7  %+6  	q= +7  %+6  	 0.726(65)
printNotes: i= 42-<2129 2130  -1>,  	Ek2 --  1/32nd.( 30) <      > 	V 25 - M 30	= -5  %-20  	q= -5  %-20  	 0.139(65)
printNotes: i= 43-< 256 2011 -1755>,  	 D2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(65)
printNotes: i= 44-<2073 2267 -194>,  	 F2 --   1/4th.(239) <      > 	V240 - M239	= +1  %+0  	q= +1  %+0  	 1.387(65)
printNotes: i= 45-<1662 2130 -468>,  	Ek2 --  1/16th.( 60) <      > 	V 54 - M 60	= -6  %-11  	q= -6  %-11  	 0.308(65)
printNotes: i= 46-<2459 2482 -23>,  	 G2 --    1/8th( 80) <      > 	V 87 - M 80	= +7  %+8  	q= +7  %+8  	 0.499(65)
printNotes: i= 47-<2280 2267  13>,  	 F2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(65)
printNotes: i= 48-<2473 2482  -9>,  	 G2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 49-<2305 2267  38>,  	 F2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(65)
printNotes: i= 50-<2571 2690 -119>,  	 A2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 51-<2270 2267   3>,  	 F2 --    1/8th( 80) <      > 	V 90 - M 80	=+10  %+11  	q=+10  %+11  	 0.517(65)
printNotes: i= 52-<2270 2267   3>,  	 F2 --  1/16th.( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(65)<-- same note
printNotes: i= 53-<2136 2130   6>,  	Ek2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(65)
printNotes: i= 54-<2000 2011 -11>,  	 D2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(65)
printNotes: i= 55-<2112 2130 -18>,  	Ek2 -- 1/32nd..( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(65)
printNotes: i= 56-<2264 2267  -3>,  	 F2 --   1/4th.(239) <      > 	V251 - M239	=+12  %+5  	q=+12  %+5  	 1.451(65)
printNotes: i= 57-<2128 2130  -2>,  	Ek2 --   1/32nd( 20) <      > 	V 22 - M 20	= +2  %+9  	q= +2  %+9  	 0.122(65)
printNotes: i= 58-<2265 2267  -2>,  	 F2 -- 1/32nd..( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(65)


silence
printNotes: i= 59-<   0   40 -40>,  	Slc --  1/16th.( 60) <      > 	V 56 - M 60	= -4  %-7  	q= -4  %-7  	 0.319(65)
printNotes: i= 60-<1816 1767  49>,  	 C2 --    128th(  5) <      > 	V  4 - M  5	= -1  %-25  	q= -1  %-25  	 0.017(65)
printNotes: i= 61-<1933 2011 -78>,  	 D2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(65)
printNotes: i= 62-<1251 1767 -516>,  	 C2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(65)
printNotes: i= 63-<1758 2267 -509>,  	 F2 -- 1/32nd..( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(65)
printNotes: i= 64-<2475 2482  -7>,  	 G2 --   1/8th.(119) <      > 	V113 - M119	= -6  %-5  	q= -6  %-5  	 0.650(65)
printNotes: i= 65-< 823 2267 -1444>,  	 F2 --    1/8th( 80) <      > 	V 80 - M 80	=  +  %+0  	q=  +  %+0  	 0.459(65)
printNotes: i= 66-<2481 2482  -1>,  	 G2 --   1/16th( 40) <      > 	V 44 - M 40	= +4  %+9  	q= +4  %+9  	 0.250(65)
printNotes: i= 67-<2271 2267   4>,  	 F2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(65)
printNotes: i= 68-<2473 2482  -9>,  	 G2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(65)
printNotes: i= 69-<2274 2267   7>,  	 F2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(65)
printNotes: i= 70-<2467 2482 -15>,  	 G2 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(65)
printNotes: i= 71-<2270 2267   3>,  	 F2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(65)
printNotes: i= 72-<2396 2482 -86>,  	 G2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(65)
printNotes: i= 73-<2141 2130  11>,  	Ek2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(65)
printNotes: i= 74-<2246 2267 -21>,  	 F2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(65)
printNotes: i= 75-<2154 2130  24>,  	Ek2 --   1/32nd( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(65)
printNotes: i= 76-<1853 2482 -629>,  	 G2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(65)
printNotes: i= 77-<1828 2130 -302>,  	Ek2 -- 1/32nd..( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(65)
printNotes: i= 78-<1989 2011 -22>,  	 D2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 79-<2120 2130 -10>,  	Ek2 -- 1/32nd..( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(65)
printNotes: i= 80-<2062 2482 -420>,  	 G2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 81-<1963 2130 -167>,  	Ek2 --  1/32nd.( 30) <      > 	V 27 - M 30	= -3  %-11  	q= -3  %-11  	 0.151(65)


silence
printNotes: i= 82-<   0   40 -40>,  	Slc --    1/4th(159) <1*sela> 	V196 - M168	=+28  %+14  	q=+37  %+19  	 1.132(65)
printNotes: i= 83-<1648 1567  81>,  	Bb1 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(65)
printNotes: i= 84-<2117 2267 -150>,  	 F2 --    1/8th( 80) <      > 	V 88 - M 80	= +8  %+9  	q= +8  %+9  	 0.505(65)
printNotes: i= 85-<2270 2267   3>,  	 F2 --  1/16th.( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(65)<-- same note
printNotes: i= 86-<2123 2130  -7>,  	Ek2 --   1/16th( 40) <      > 	V 45 - M 40	= +5  %+11  	q= +5  %+11  	 0.255(65)
printNotes: i= 87-<2139 2130   9>,  	Ek2 --  1/16th.( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(65)<-- same note
printNotes: i= 88-<2027 2011  16>,  	 D2 --  1/16th.( 60) <      > 	V 55 - M 60	= -5  %-9  	q= -5  %-9  	 0.313(65)
printNotes: i= 89-< 433 1767 -1334>,  	 C2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 90-<1886 2130 -244>,  	Ek2 --    1/4th(159) <      > 	V152 - M159	= -7  %-5  	q= -7  %-5  	 0.877(65)
printNotes: i= 91-<2031 2011  20>,  	 D2 --  1/32nd.( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(65)
printNotes: i= 92-<2248 2267 -19>,  	 F2 --  1/16th.( 60) <      > 	V 58 - M 60	= -2  %-3  	q= -2  %-3  	 0.331(65)
printNotes: i= 93-<2292 2267  25>,  	 F2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)<-- same note
printNotes: i= 94-<1987 2267 -280>,  	 F2 --  1/16th.( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(65)<-- same note
printNotes: i= 95-< 698 2130 -1432>,  	Ek2 --  1/32nd.( 30) <      > 	V 26 - M 30	= -4  %-15  	q= -4  %-15  	 0.145(65)
printNotes: i= 96-<1913 1767 146>,  	 C2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 97-<2265 2267  -2>,  	 F2 --  1/8th..(139) <      > 	V130 - M139	= -9  %-7  	q= -9  %-7  	 0.749(65)
printNotes: i= 98-<2189 2130  59>,  	Ek2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(65)
printNotes: i= 99-<2377 2482 -105>,  	 G2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 100-<2204 2130  74>,  	Ek2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 101-<2390 2482 -92>,  	 G2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(65)
printNotes: i= 102-<2186 2130  56>,  	Ek2 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(65)
printNotes: i= 103-<2026 2011  15>,  	 D2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(65)
printNotes: i= 104-<2117 2130 -13>,  	Ek2 -- 1/16th..( 70) <      > 	V 72 - M 70	= +2  %+3  	q= +2  %+3  	 0.412(65)
printNotes: i= 105-<1698 2011 -313>,  	 D2 --  1/16th.( 60) <      > 	V 61 - M 60	= +1  %+2  	q= +1  %+2  	 0.348(65)
printNotes: i= 106-<2119 2130 -11>,  	Ek2 --    1/8th( 80) <      > 	V 96 - M 80	=+16  %+17  	q=+16  %+17  	 0.551(65)
printNotes: i= 107-<2018 2011   7>,  	 D2 --  1/16th.( 60) <      > 	V 51 - M 60	= -9  %-18  	q= -9  %-18  	 0.290(65)
printNotes: i= 108-<2387 2482 -95>,  	 G2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(65)
printNotes: i= 109-<1906 2267 -361>,  	 F2 --   1/8th.(119) <      > 	V105 - M119	=-14  %-13  	q=-14  %-13  	 0.604(65)


silence
